"loan_id","customer_id","funded_amount","term_months","int_rate","fico_score","dti","purpose","home_ownership","issue_date","risk_tier","loan_status"
"LN100035","CUST204558",35000,36,"15.53",729,"0.24","Debt Consolidation","RENT","2023-12-18","Low Risk","Fully Paid"
"LN100036","CUST213262",10000,36,"14.17",683,"0.46","Debt Consolidation","MORTGAGE","2024-07-11","Medium Risk","Fully Paid"
"LN100037","CUST214243",5000,36,"15.27",656,"0.24","Home Improvement","MORTGAGE","2025-11-17","High Risk","Fully Paid"
"LN100038","CUST200107",20000,36,"17.77",648,"0.30","Major Purchase","MORTGAGE","2023-02-12","High Risk","Fully Paid"
"LN100039","CUST212433",15000,60,"15.21",580,"0.36","Home Improvement","RENT","2025-10-22","High Risk","Fully Paid"
"LN100040","CUST213203",5000,60,"16.62",738,"0.16","Debt Consolidation","RENT","2025-10-30","Low Risk","Default"
"LN100041","CUST202616",15000,36,"15.43",732,"0.28","Major Purchase","MORTGAGE","2023-04-27","Low Risk","Fully Paid"
"LN100042","CUST211439",5000,36,"12.35",826,"0.19","Credit Card Refinance","RENT","2025-03-17","Low Risk","Fully Paid"
"LN100043","CUST206925",50000,36,"17.18",663,"0.11","Debt Consolidation","RENT","2023-10-04","Medium Risk","Fully Paid"
"LN100044","CUST205575",10000,36,"18.07",646,"0.55","Major Purchase","MORTGAGE","2023-12-09","High Risk","Fully Paid"
"LN100045","CUST204553",20000,36,"17.98",594,"0.22","Small Business","RENT","2023-04-10","High Risk","Fully Paid"
"LN100046","CUST202548",10000,36,"15.49",727,"0.37","Credit Card Refinance","OWN","2025-08-18","Low Risk","Default"
"LN100047","CUST203528",15000,36,"13.13",716,"0.55","Debt Consolidation","RENT","2023-11-16","Medium Risk","Fully Paid"
"LN100048","CUST212510",15000,36,"14.79",757,"0.22","Debt Consolidation","MORTGAGE","2023-09-28","Low Risk","Fully Paid"
"LN100049","CUST205515",5000,36,"17.56",634,"0.15","Credit Card Refinance","MORTGAGE","2024-05-10","High Risk","Fully Paid"
"LN100050","CUST201675",50000,36,"16.78",715,"0.51","Credit Card Refinance","MORTGAGE","2025-01-22","Medium Risk","Default"
"LN100051","CUST201520",35000,36,"16.44",653,"0.19","Home Improvement","MORTGAGE","2024-07-25","High Risk","Default"
"LN100052","CUST206225",50000,36,"14.28",747,"0.25","Credit Card Refinance","MORTGAGE","2025-08-05","Low Risk","Default"
"LN100053","CUST201585",35000,36,"13.47",706,"0.23","Small Business","RENT","2024-05-18","Medium Risk","Default"
"LN100054","CUST205882",15000,60,"17.45",602,"0.32","Debt Consolidation","RENT","2025-07-20","High Risk","Fully Paid"
"LN100055","CUST213886",50000,36,"16.59",673,"0.08","Major Purchase","MORTGAGE","2023-12-25","Medium Risk","Fully Paid"
"LN100056","CUST205636",5000,60,"19.01",582,"0.37","Debt Consolidation","RENT","2023-08-14","High Risk","Fully Paid"
"LN100057","CUST209892",5000,36,"19.54",621,"0.36","Debt Consolidation","RENT","2024-05-23","High Risk","Fully Paid"
"LN100058","CUST204334",5000,36,"17.59",624,"0.40","Home Improvement","MORTGAGE","2023-11-28","High Risk","Fully Paid"
"LN100059","CUST213224",10000,36,"16.19",647,"0.40","Debt Consolidation","MORTGAGE","2023-03-28","High Risk","Fully Paid"
"LN100060","CUST200712",10000,36,"16.68",666,"0.35","Credit Card Refinance","RENT","2023-05-18","Medium Risk","Fully Paid"
"LN100061","CUST211956",10000,36,"14.46",688,"0.26","Credit Card Refinance","RENT","2025-02-11","Medium Risk","Fully Paid"
"LN100062","CUST207528",35000,60,"17.36",685,"0.31","Debt Consolidation","MORTGAGE","2023-10-06","Medium Risk","Default"
"LN100063","CUST208786",10000,36,"14.51",678,"0.22","Debt Consolidation","MORTGAGE","2023-01-02","Medium Risk","Default"
"LN100064","CUST202046",10000,36,"14.49",696,"0.32","Major Purchase","RENT","2024-08-11","Medium Risk","Fully Paid"
"LN100065","CUST206202",15000,36,"15.46",617,"0.21","Debt Consolidation","MORTGAGE","2025-08-01","High Risk","Fully Paid"
"LN100066","CUST201292",5000,36,"15.55",683,"0.32","Home Improvement","RENT","2025-12-19","Medium Risk","Default"
"LN100067","CUST209045",35000,60,"14.69",751,"0.25","Debt Consolidation","MORTGAGE","2025-09-30","Low Risk","Fully Paid"
"LN100068","CUST204804",5000,60,"18.20",671,"0.20","Debt Consolidation","RENT","2025-03-19","Medium Risk","Fully Paid"
"LN100069","CUST213589",75000,36,"14.81",704,"0.43","Debt Consolidation","RENT","2025-04-07","Medium Risk","Fully Paid"
"LN100070","CUST210300",35000,36,"14.66",700,"0.40","Debt Consolidation","RENT","2025-12-11","Medium Risk","Fully Paid"
"LN100071","CUST210134",5000,36,"10.42",723,"0.31","Credit Card Refinance","MORTGAGE","2025-08-13","Low Risk","Fully Paid"
"LN100072","CUST214508",5000,60,"15.48",694,"0.09","Debt Consolidation","MORTGAGE","2025-11-30","Medium Risk","Fully Paid"
"LN100073","CUST214119",35000,36,"14.49",722,"0.19","Debt Consolidation","OWN","2024-12-25","Low Risk","Fully Paid"
"LN100074","CUST205926",20000,60,"14.90",705,"0.29","Credit Card Refinance","RENT","2025-04-09","Medium Risk","Fully Paid"
"LN100075","CUST209460",20000,36,"16.96",712,"0.36","Home Improvement","MORTGAGE","2024-05-29","Medium Risk","Fully Paid"
"LN100076","CUST203151",35000,60,"15.77",702,"0.36","Debt Consolidation","RENT","2025-12-08","Medium Risk","Fully Paid"
"LN100077","CUST211544",5000,36,"16.15",629,"0.33","Home Improvement","MORTGAGE","2025-04-14","High Risk","Fully Paid"
"LN100078","CUST201140",10000,36,"15.62",621,"0.30","Debt Consolidation","OWN","2023-12-08","High Risk","Fully Paid"
"LN100079","CUST200751",5000,36,"14.21",662,"0.27","Credit Card Refinance","RENT","2025-10-27","Medium Risk","Fully Paid"
"LN100080","CUST210835",35000,60,"12.91",757,"0.22","Credit Card Refinance","RENT","2025-10-20","Low Risk","Fully Paid"
"LN100081","CUST203734",20000,60,"16.29",671,"0.50","Debt Consolidation","MORTGAGE","2023-09-16","Medium Risk","Default"
"LN100082","CUST212666",10000,60,"11.96",695,"0.42","Debt Consolidation","MORTGAGE","2023-03-16","Medium Risk","Fully Paid"
"LN100083","CUST204742",5000,60,"17.77",581,"0.37","Home Improvement","RENT","2024-02-28","High Risk","Fully Paid"
"LN100084","CUST201308",10000,36,"16.48",689,"0.16","Debt Consolidation","MORTGAGE","2023-05-31","Medium Risk","Fully Paid"
"LN100085","CUST214014",10000,60,"13.85",684,"0.16","Debt Consolidation","MORTGAGE","2025-01-22","Medium Risk","Default"
"LN100086","CUST203815",20000,60,"18.58",546,"0.30","Debt Consolidation","OWN","2024-09-03","High Risk","Fully Paid"
"LN100087","CUST214197",20000,36,"13.66",694,"0.24","Debt Consolidation","MORTGAGE","2023-08-25","Medium Risk","Fully Paid"
"LN100088","CUST201655",35000,36,"13.51",597,"0.16","Credit Card Refinance","RENT","2025-04-24","High Risk","Fully Paid"
"LN100089","CUST206228",15000,36,"15.22",643,"0.31","Debt Consolidation","OWN","2025-02-22","High Risk","Fully Paid"
"LN100090","CUST204555",5000,36,"12.68",729,"0.07","Major Purchase","MORTGAGE","2025-02-08","Low Risk","Fully Paid"
"LN100091","CUST207429",20000,60,"16.49",687,"0.29","Debt Consolidation","RENT","2024-09-05","Medium Risk","Fully Paid"
"LN100092","CUST210416",35000,36,"16.80",657,"0.36","Debt Consolidation","MORTGAGE","2025-02-04","High Risk","Fully Paid"
"LN100093","CUST213667",15000,36,"14.61",653,"0.36","Credit Card Refinance","OWN","2023-02-18","High Risk","Fully Paid"
"LN100094","CUST205978",35000,36,"17.96",659,"0.08","Debt Consolidation","MORTGAGE","2024-10-06","High Risk","Fully Paid"
"LN100095","CUST202665",15000,36,"16.39",688,"0.08","Debt Consolidation","MORTGAGE","2025-09-24","Medium Risk","Fully Paid"
"LN100096","CUST206066",15000,36,"16.64",619,"0.27","Debt Consolidation","RENT","2024-02-11","High Risk","Fully Paid"
"LN100097","CUST205821",15000,60,"14.60",736,"0.22","Credit Card Refinance","RENT","2023-02-02","Low Risk","Fully Paid"
"LN100098","CUST203433",5000,36,"15.53",622,"0.15","Small Business","RENT","2024-03-17","High Risk","Fully Paid"
"LN100099","CUST210981",5000,60,"13.98",593,"0.05","Major Purchase","RENT","2025-06-10","High Risk","Fully Paid"
"LN100100","CUST204375",5000,36,"14.41",729,"0.19","Debt Consolidation","OWN","2023-10-29","Low Risk","Fully Paid"
"LN100101","CUST211499",20000,60,"14.00",658,"0.29","Credit Card Refinance","MORTGAGE","2025-07-10","High Risk","Fully Paid"
"LN100102","CUST211200",10000,36,"15.08",683,"0.27","Debt Consolidation","RENT","2023-10-14","Medium Risk","Fully Paid"
"LN100103","CUST210618",15000,36,"15.32",712,"0.16","Home Improvement","MORTGAGE","2024-09-10","Medium Risk","Fully Paid"
"LN100104","CUST201170",50000,36,"13.48",644,"0.18","Debt Consolidation","RENT","2025-03-22","High Risk","Default"
"LN100105","CUST209981",10000,60,"15.66",686,"0.26","Small Business","OWN","2024-05-15","Medium Risk","Fully Paid"
"LN100106","CUST210404",15000,36,"15.94",712,"0.20","Home Improvement","MORTGAGE","2023-10-19","Medium Risk","Fully Paid"
"LN100107","CUST202804",35000,36,"10.33",762,"0.34","Debt Consolidation","RENT","2023-02-03","Low Risk","Fully Paid"
"LN100108","CUST208752",10000,60,"17.21",654,"0.37","Credit Card Refinance","MORTGAGE","2024-04-10","High Risk","Fully Paid"
"LN100109","CUST211947",5000,36,"18.95",656,"0.35","Home Improvement","OWN","2025-06-18","High Risk","Default"
"LN100110","CUST204011",10000,36,"14.42",708,"0.17","Credit Card Refinance","MORTGAGE","2024-06-01","Medium Risk","Fully Paid"
"LN100111","CUST202678",5000,36,"16.36",690,"0.34","Home Improvement","RENT","2025-09-23","Medium Risk","Fully Paid"
"LN100112","CUST207574",50000,36,"14.17",673,"0.34","Debt Consolidation","RENT","2025-03-28","Medium Risk","Fully Paid"
"LN100113","CUST206217",35000,36,"14.91",759,"0.48","Credit Card Refinance","MORTGAGE","2025-08-13","Low Risk","Fully Paid"
"LN100114","CUST204423",20000,36,"18.39",595,"0.54","Credit Card Refinance","RENT","2025-08-10","High Risk","Fully Paid"
"LN100115","CUST210486",35000,60,"17.63",608,"0.45","Debt Consolidation","RENT","2025-01-30","High Risk","Fully Paid"
"LN100116","CUST211275",35000,36,"17.84",596,"0.25","Major Purchase","MORTGAGE","2024-02-24","High Risk","Fully Paid"
"LN100117","CUST209126",5000,36,"14.59",740,"0.21","Debt Consolidation","MORTGAGE","2025-08-06","Low Risk","Fully Paid"
"LN100118","CUST203599",35000,36,"14.78",705,"0.28","Home Improvement","MORTGAGE","2023-09-25","Medium Risk","Fully Paid"
"LN100119","CUST211217",15000,36,"15.77",611,"0.23","Debt Consolidation","MORTGAGE","2025-05-01","High Risk","Fully Paid"
"LN100120","CUST205314",35000,36,"15.45",673,"0.55","Debt Consolidation","RENT","2023-04-16","Medium Risk","Fully Paid"
"LN100121","CUST213810",35000,60,"15.48",678,"0.41","Major Purchase","RENT","2024-05-17","Medium Risk","Fully Paid"
"LN100122","CUST212589",10000,60,"16.51",569,"0.37","Home Improvement","MORTGAGE","2023-10-26","High Risk","Fully Paid"
"LN100123","CUST212714",5000,60,"15.11",689,"0.40","Debt Consolidation","MORTGAGE","2023-07-27","Medium Risk","Fully Paid"
"LN100124","CUST200917",10000,36,"16.88",621,"0.46","Credit Card Refinance","RENT","2024-08-28","High Risk","Fully Paid"
"LN100125","CUST203753",15000,60,"13.84",715,"0.37","Debt Consolidation","MORTGAGE","2025-02-05","Medium Risk","Fully Paid"
"LN100126","CUST213465",35000,60,"17.48",622,"0.28","Home Improvement","MORTGAGE","2023-04-19","High Risk","Fully Paid"
"LN100127","CUST200526",35000,36,"16.13",690,"0.39","Debt Consolidation","RENT","2024-12-18","Medium Risk","Fully Paid"
"LN100128","CUST213190",5000,36,"12.90",744,"0.39","Debt Consolidation","RENT","2025-08-10","Low Risk","Fully Paid"
"LN100129","CUST205169",15000,36,"14.52",728,"0.17","Debt Consolidation","RENT","2025-03-02","Low Risk","Fully Paid"
"LN100130","CUST206573",15000,36,"16.24",705,"0.59","Debt Consolidation","RENT","2025-06-06","Medium Risk","Fully Paid"
"LN100131","CUST204387",10000,60,"14.11",675,"0.23","Debt Consolidation","RENT","2023-06-09","Medium Risk","Fully Paid"
"LN100132","CUST201085",5000,36,"14.91",604,"0.49","Major Purchase","OWN","2024-08-25","High Risk","Fully Paid"
"LN100133","CUST203457",10000,36,"14.64",658,"0.28","Major Purchase","RENT","2024-12-27","High Risk","Fully Paid"
"LN100134","CUST214961",50000,36,"16.59",668,"0.44","Small Business","MORTGAGE","2025-11-15","Medium Risk","Fully Paid"
"LN100135","CUST209293",10000,36,"15.19",665,"0.31","Debt Consolidation","MORTGAGE","2025-09-04","Medium Risk","Fully Paid"
"LN100136","CUST214359",15000,36,"15.57",603,"0.13","Debt Consolidation","MORTGAGE","2023-03-24","High Risk","Fully Paid"
"LN100137","CUST211763",20000,60,"16.88",701,"0.43","Debt Consolidation","MORTGAGE","2025-09-08","Medium Risk","Fully Paid"
"LN100138","CUST205156",10000,36,"15.23",620,"0.48","Home Improvement","MORTGAGE","2023-05-19","High Risk","Fully Paid"
"LN100139","CUST203484",75000,60,"13.32",757,"0.30","Debt Consolidation","RENT","2024-12-22","Low Risk","Fully Paid"
"LN100140","CUST210739",50000,36,"16.43",687,"0.40","Debt Consolidation","MORTGAGE","2024-11-09","Medium Risk","Fully Paid"
"LN100141","CUST208180",10000,36,"15.31",728,"0.22","Debt Consolidation","RENT","2024-02-01","Low Risk","Fully Paid"
"LN100142","CUST206483",15000,36,"14.95",727,"0.31","Debt Consolidation","OWN","2024-09-27","Low Risk","Fully Paid"
"LN100143","CUST214495",10000,60,"11.92",783,"0.43","Debt Consolidation","RENT","2025-11-03","Low Risk","Fully Paid"
"LN100144","CUST214984",10000,36,"16.11",689,"0.35","Debt Consolidation","RENT","2023-12-06","Medium Risk","Fully Paid"
"LN100145","CUST210533",5000,36,"16.02",660,"0.36","Debt Consolidation","MORTGAGE","2023-01-23","Medium Risk","Fully Paid"
"LN100146","CUST207518",20000,36,"16.58",661,"0.42","Debt Consolidation","MORTGAGE","2023-07-27","Medium Risk","Fully Paid"
"LN100147","CUST202341",15000,60,"15.71",754,"0.50","Debt Consolidation","MORTGAGE","2023-10-26","Low Risk","Default"
"LN100148","CUST204340",5000,36,"15.38",613,"0.44","Credit Card Refinance","RENT","2024-07-06","High Risk","Fully Paid"
"LN100149","CUST202288",10000,36,"17.18",636,"0.34","Home Improvement","MORTGAGE","2023-05-03","High Risk","Fully Paid"
"LN100150","CUST204041",50000,36,"15.44",691,"0.30","Debt Consolidation","MORTGAGE","2023-02-20","Medium Risk","Fully Paid"
"LN100151","CUST212206",10000,36,"17.12",672,"0.32","Debt Consolidation","RENT","2025-11-09","Medium Risk","Fully Paid"
"LN100152","CUST209198",5000,60,"16.97",728,"0.15","Debt Consolidation","RENT","2024-03-23","Low Risk","Fully Paid"
"LN100153","CUST208831",15000,60,"19.80",613,"0.33","Debt Consolidation","MORTGAGE","2025-12-03","High Risk","Fully Paid"
"LN100154","CUST204305",75000,36,"16.85",676,"0.16","Debt Consolidation","MORTGAGE","2025-01-30","Medium Risk","Fully Paid"
"LN100155","CUST212240",10000,60,"14.85",670,"0.26","Debt Consolidation","MORTGAGE","2023-02-19","Medium Risk","Fully Paid"
"LN100156","CUST209578",20000,60,"16.22",626,"0.39","Debt Consolidation","MORTGAGE","2025-07-07","High Risk","Default"
"LN100157","CUST207020",35000,36,"15.51",723,"0.25","Debt Consolidation","RENT","2025-04-06","Low Risk","Fully Paid"
"LN100158","CUST214710",10000,60,"13.70",675,"0.47","Major Purchase","MORTGAGE","2024-11-15","Medium Risk","Fully Paid"
"LN100159","CUST209561",20000,36,"15.32",673,"0.30","Credit Card Refinance","MORTGAGE","2025-07-31","Medium Risk","Fully Paid"
"LN100160","CUST206544",10000,36,"15.44",638,"0.44","Home Improvement","MORTGAGE","2024-12-11","High Risk","Fully Paid"
"LN100161","CUST205931",20000,36,"14.21",661,"0.27","Credit Card Refinance","RENT","2024-10-30","Medium Risk","Fully Paid"
"LN100162","CUST203594",20000,36,"17.17",628,"0.29","Debt Consolidation","MORTGAGE","2024-08-06","High Risk","Fully Paid"
"LN100163","CUST202267",15000,36,"15.61",723,"0.44","Major Purchase","MORTGAGE","2025-01-23","Low Risk","Fully Paid"
"LN100164","CUST208349",5000,60,"15.13",731,"0.28","Debt Consolidation","MORTGAGE","2023-04-15","Low Risk","Fully Paid"
"LN100165","CUST208086",35000,60,"13.58",764,"0.34","Major Purchase","RENT","2025-11-24","Low Risk","Fully Paid"
"LN100166","CUST201490",10000,60,"14.45",701,"0.25","Credit Card Refinance","MORTGAGE","2023-09-10","Medium Risk","Fully Paid"
"LN100167","CUST212383",5000,36,"15.14",663,"0.05","Debt Consolidation","MORTGAGE","2025-06-16","Medium Risk","Fully Paid"
"LN100168","CUST200772",5000,60,"17.41",656,"0.23","Credit Card Refinance","MORTGAGE","2025-09-25","High Risk","Fully Paid"
"LN100169","CUST214109",15000,36,"14.13",704,"0.48","Home Improvement","MORTGAGE","2025-06-06","Medium Risk","Fully Paid"
"LN100170","CUST201797",20000,36,"14.44",690,"0.34","Major Purchase","RENT","2025-11-18","Medium Risk","Fully Paid"
"LN100171","CUST202505",5000,36,"16.34",671,"0.41","Credit Card Refinance","RENT","2023-03-16","Medium Risk","Fully Paid"
"LN100172","CUST210281",15000,36,"14.38",666,"0.41","Credit Card Refinance","OWN","2025-11-02","Medium Risk","Fully Paid"
"LN100173","CUST202622",10000,36,"14.18",738,"0.39","Major Purchase","MORTGAGE","2023-05-18","Low Risk","Fully Paid"
"LN100174","CUST212978",20000,36,"15.26",658,"0.49","Credit Card Refinance","MORTGAGE","2023-11-11","High Risk","Fully Paid"
"LN100175","CUST211150",5000,60,"12.82",747,"0.26","Small Business","MORTGAGE","2025-02-12","Low Risk","Fully Paid"
"LN100176","CUST206917",20000,60,"14.90",689,"0.48","Credit Card Refinance","MORTGAGE","2024-11-07","Medium Risk","Fully Paid"
"LN100177","CUST209772",10000,60,"17.11",661,"0.38","Home Improvement","RENT","2025-06-19","Medium Risk","Fully Paid"
"LN100178","CUST201041",50000,36,"16.77",640,"0.35","Credit Card Refinance","MORTGAGE","2024-07-01","High Risk","Fully Paid"
"LN100179","CUST206305",5000,60,"16.14",672,"0.05","Debt Consolidation","MORTGAGE","2023-10-22","Medium Risk","Fully Paid"
"LN100180","CUST206253",10000,60,"16.01",705,"0.35","Debt Consolidation","OWN","2023-10-19","Medium Risk","Fully Paid"
"LN100181","CUST209764",5000,36,"16.91",661,"0.41","Debt Consolidation","RENT","2024-02-07","Medium Risk","Fully Paid"
"LN100182","CUST207669",50000,60,"14.18",722,"0.33","Debt Consolidation","MORTGAGE","2023-07-10","Low Risk","Fully Paid"
"LN100183","CUST208670",35000,36,"16.88",658,"0.45","Debt Consolidation","MORTGAGE","2025-02-25","High Risk","Fully Paid"
"LN100184","CUST204120",10000,36,"15.42",673,"0.46","Credit Card Refinance","RENT","2024-07-18","Medium Risk","Default"
"LN100185","CUST209065",20000,36,"17.78",615,"0.27","Small Business","RENT","2025-03-18","High Risk","Fully Paid"
"LN100186","CUST214104",35000,36,"16.39",707,"0.31","Debt Consolidation","RENT","2024-03-27","Medium Risk","Default"
"LN100187","CUST200189",15000,60,"16.63",666,"0.27","Credit Card Refinance","MORTGAGE","2023-03-27","Medium Risk","Fully Paid"
"LN100188","CUST211146",15000,36,"11.68",758,"0.25","Credit Card Refinance","OWN","2023-04-01","Low Risk","Fully Paid"
"LN100189","CUST211809",10000,36,"13.88",715,"0.31","Credit Card Refinance","MORTGAGE","2024-09-12","Medium Risk","Fully Paid"
"LN100190","CUST201877",5000,60,"16.37",684,"0.33","Debt Consolidation","MORTGAGE","2023-01-25","Medium Risk","Fully Paid"
"LN100191","CUST211170",35000,60,"10.74",741,"0.05","Credit Card Refinance","MORTGAGE","2023-09-30","Low Risk","Fully Paid"
"LN100192","CUST214497",50000,36,"15.49",700,"0.30","Debt Consolidation","MORTGAGE","2024-02-03","Medium Risk","Fully Paid"
"LN100193","CUST208798",20000,36,"14.65",730,"0.35","Debt Consolidation","RENT","2025-05-06","Low Risk","Default"
"LN100194","CUST212303",10000,36,"20.69",636,"0.32","Debt Consolidation","MORTGAGE","2024-02-01","High Risk","Fully Paid"
"LN100195","CUST204372",10000,36,"15.57",703,"0.29","Home Improvement","OWN","2025-05-05","Medium Risk","Default"
"LN100196","CUST212593",20000,36,"14.71",705,"0.18","Credit Card Refinance","RENT","2023-11-07","Medium Risk","Fully Paid"
"LN100197","CUST210502",35000,36,"19.20",602,"0.14","Debt Consolidation","MORTGAGE","2025-05-24","High Risk","Default"
"LN100198","CUST205574",35000,60,"13.11",755,"0.24","Debt Consolidation","MORTGAGE","2024-06-06","Low Risk","Fully Paid"
"LN100199","CUST201828",35000,60,"17.04",621,"0.08","Debt Consolidation","RENT","2024-03-07","High Risk","Fully Paid"
"LN100200","CUST204809",20000,36,"17.26",615,"0.29","Debt Consolidation","MORTGAGE","2023-01-02","High Risk","Fully Paid"
"LN100201","CUST207124",5000,36,"19.98",537,"0.20","Small Business","RENT","2023-05-16","High Risk","Default"
"LN100202","CUST202592",5000,36,"13.54",703,"0.32","Debt Consolidation","RENT","2023-12-01","Medium Risk","Fully Paid"
"LN100203","CUST207434",35000,36,"18.83",597,"0.23","Small Business","RENT","2023-03-18","High Risk","Default"
"LN100204","CUST200054",20000,36,"15.36",654,"0.07","Home Improvement","RENT","2024-06-27","High Risk","Fully Paid"
"LN100205","CUST211831",5000,36,"17.56",721,"0.18","Major Purchase","MORTGAGE","2025-09-15","Low Risk","Fully Paid"
"LN100206","CUST214350",5000,36,"13.01",689,"0.32","Credit Card Refinance","RENT","2023-05-16","Medium Risk","Fully Paid"
"LN100207","CUST211792",20000,36,"15.16",648,"0.39","Home Improvement","RENT","2024-03-24","High Risk","Fully Paid"
"LN100208","CUST204316",5000,36,"14.46",600,"0.27","Debt Consolidation","RENT","2025-08-17","High Risk","Fully Paid"
"LN100209","CUST208202",5000,36,"20.10",674,"0.33","Credit Card Refinance","MORTGAGE","2023-12-06","Medium Risk","Fully Paid"
"LN100210","CUST212484",15000,36,"12.61",722,"0.28","Credit Card Refinance","MORTGAGE","2025-10-07","Low Risk","Fully Paid"
"LN100211","CUST202928",20000,36,"15.77",715,"0.27","Debt Consolidation","MORTGAGE","2023-08-22","Medium Risk","Fully Paid"
"LN100212","CUST208318",20000,36,"14.37",769,"0.20","Debt Consolidation","MORTGAGE","2023-06-13","Low Risk","Fully Paid"
"LN100213","CUST214953",10000,36,"14.97",647,"0.30","Credit Card Refinance","MORTGAGE","2025-07-30","High Risk","Default"
"LN100214","CUST201744",20000,36,"18.31",614,"0.23","Credit Card Refinance","OWN","2024-12-02","High Risk","Fully Paid"
"LN100215","CUST214263",10000,36,"13.52",695,"0.47","Small Business","MORTGAGE","2025-02-01","Medium Risk","Fully Paid"
